2025-06-10 07:20:02,151 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:20:17,149 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:20:35,102 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0012s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:20:50,103 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:21:05,102 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0007s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:21:23,060 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:21:38,060 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:21:55,998 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:22:10,998 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:22:28,900 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:22:43,900 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:23:01,834 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0007s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:23:16,835 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:23:34,810 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:23:49,809 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:24:07,744 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0007s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:24:22,743 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:24:40,672 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
