2025-06-11 14:41:10,536 - INFO - api_logger - 172.18.0.1 | GET /users/hello | Status: 200 | Time: 0.0005s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:11,641 - INFO - api_logger - 172.18.0.1 | GET /users | Status: 308 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:12,645 - INFO - api_logger - 172.18.0.1 | GET /users/ | Status: 200 | Time: 0.0008s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:13,800 - INFO - api_logger - 172.18.0.1 | POST /users/login | Status: 200 | Time: 0.0511s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:14,906 - INFO - api_logger - 172.18.0.1 | POST /users/search | Status: 200 | Time: 0.001s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:16,011 - INFO - api_logger - 172.18.0.1 | POST /users/search | Status: 200 | Time: 0.0011s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:24,804 - WARNING - api_logger - 172.18.0.1 | GET /users/profile | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:25,960 - INFO - api_logger - 172.18.0.1 | POST /users/login | Status: 200 | Time: 0.0515s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:28,175 - INFO - api_logger - 172.18.0.1 | GET /users/hello | Status: 200 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:29,279 - WARNING - api_logger - 172.18.0.1 | GET /users/profile | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:31,495 - INFO - api_logger - 172.18.0.1 | GET /users | Status: 308 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:32,499 - INFO - api_logger - 172.18.0.1 | GET /users/ | Status: 200 | Time: 0.0009s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:33,657 - INFO - api_logger - 172.18.0.1 | POST /users/login | Status: 200 | Time: 0.0531s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:34,763 - INFO - api_logger - 172.18.0.1 | POST /users/login-rate | Status: 200 | Time: 0.0008s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:37,032 - INFO - api_logger - 172.18.0.1 | POST /users/login | Status: 200 | Time: 0.0518s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:38,137 - WARNING - api_logger - 172.18.0.1 | PUT /users/1/description | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:39,241 - WARNING - api_logger - 172.18.0.1 | GET /users/1 | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:40,347 - WARNING - api_logger - 172.18.0.1 | POST /users/login-rate | Status: 429 | Time: 0.0013s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:41,451 - WARNING - api_logger - 172.18.0.1 | GET /users/1 | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:42,607 - INFO - api_logger - 172.18.0.1 | POST /users/login | Status: 200 | Time: 0.0519s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:43,768 - INFO - api_logger - 172.18.0.1 | POST /users/login | Status: 200 | Time: 0.0557s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:45,985 - INFO - api_logger - 172.18.0.1 | POST /users/login-rate | Status: 200 | Time: 0.0009s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:47,090 - WARNING - api_logger - 172.18.0.1 | GET /users/admin-panel | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:48,195 - INFO - api_logger - 172.18.0.1 | POST /users/search | Status: 200 | Time: 0.0011s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:49,300 - WARNING - api_logger - 172.18.0.1 | POST /users/login-rate | Status: 429 | Time: 0.0011s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:50,457 - INFO - api_logger - 172.18.0.1 | POST /users/login | Status: 200 | Time: 0.0526s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:51,561 - WARNING - api_logger - 172.18.0.1 | GET /users/admin-panel | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:52,717 - INFO - api_logger - 172.18.0.1 | POST /users/login | Status: 200 | Time: 0.0523s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:53,822 - WARNING - api_logger - 172.18.0.1 | GET /users/dashboard | Status: 404 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:54,926 - WARNING - api_logger - 172.18.0.1 | GET /users/1 | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:56,031 - WARNING - api_logger - 172.18.0.1 | PUT /users/1/description | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:41:59,961 - WARNING - api_logger - 172.18.0.1 | GET /users/dashboard | Status: 404 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:01,065 - WARNING - api_logger - 172.18.0.1 | GET /users/profile | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:02,171 - WARNING - api_logger - 172.18.0.1 | GET /users/profile | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:03,276 - WARNING - api_logger - 172.18.0.1 | GET /users/admin-panel | Status: 401 | Time: 0.0006s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:04,381 - WARNING - api_logger - 172.18.0.1 | GET /users/admin-panel | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:05,486 - INFO - api_logger - 172.18.0.1 | POST /users/search | Status: 200 | Time: 0.001s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:06,592 - INFO - api_logger - 172.18.0.1 | POST /users/login-rate | Status: 200 | Time: 0.0008s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:07,698 - INFO - api_logger - 172.18.0.1 | POST /users/search | Status: 200 | Time: 0.0013s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:08,803 - WARNING - api_logger - 172.18.0.1 | PUT /users/1/description | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:09,907 - WARNING - api_logger - 172.18.0.1 | GET /users/profile | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:11,012 - INFO - api_logger - 172.18.0.1 | POST /users/search | Status: 200 | Time: 0.001s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:12,116 - WARNING - api_logger - 172.18.0.1 | GET /users/dashboard | Status: 404 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:13,220 - INFO - api_logger - 172.18.0.1 | GET /users/hello | Status: 200 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:14,325 - WARNING - api_logger - 172.18.0.1 | GET /users/admin-panel | Status: 401 | Time: 0.0005s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:16,541 - WARNING - api_logger - 172.18.0.1 | GET /users/admin-panel | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:17,646 - INFO - api_logger - 172.18.0.1 | POST /users/search | Status: 200 | Time: 0.0011s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:18,750 - INFO - api_logger - 172.18.0.1 | GET /users | Status: 308 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:19,754 - INFO - api_logger - 172.18.0.1 | GET /users/ | Status: 200 | Time: 0.0008s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:20,860 - WARNING - api_logger - 172.18.0.1 | GET /users/dashboard | Status: 404 | Time: 0.0022s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:21,964 - WARNING - api_logger - 172.18.0.1 | GET /users/admin-panel | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:23,069 - INFO - api_logger - 172.18.0.1 | POST /users/search | Status: 200 | Time: 0.0011s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:24,174 - INFO - api_logger - 172.18.0.1 | GET /users | Status: 308 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:25,178 - INFO - api_logger - 172.18.0.1 | GET /users/ | Status: 200 | Time: 0.0008s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:26,282 - INFO - api_logger - 172.18.0.1 | GET /users | Status: 308 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:27,286 - INFO - api_logger - 172.18.0.1 | GET /users/ | Status: 200 | Time: 0.0009s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:29,502 - WARNING - api_logger - 172.18.0.1 | GET /users/profile | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:31,770 - INFO - api_logger - 172.18.0.1 | POST /users/login | Status: 200 | Time: 0.0511s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:35,327 - WARNING - api_logger - 172.18.0.1 | GET /users/1 | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:36,431 - WARNING - api_logger - 172.18.0.1 | GET /users/dashboard | Status: 404 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:38,648 - WARNING - api_logger - 172.18.0.1 | GET /users/profile | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:39,753 - INFO - api_logger - 172.18.0.1 | POST /users/login-rate | Status: 200 | Time: 0.0011s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:40,858 - INFO - api_logger - 172.18.0.1 | POST /users/login-rate | Status: 200 | Time: 0.0008s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:41,963 - WARNING - api_logger - 172.18.0.1 | PUT /users/1/description | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:43,068 - INFO - api_logger - 172.18.0.1 | POST /users/search | Status: 200 | Time: 0.0011s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:44,173 - INFO - api_logger - 172.18.0.1 | POST /users/search | Status: 200 | Time: 0.0012s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:45,278 - WARNING - api_logger - 172.18.0.1 | GET /users/profile | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:46,382 - WARNING - api_logger - 172.18.0.1 | GET /users/dashboard | Status: 404 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:47,486 - WARNING - api_logger - 172.18.0.1 | GET /users/profile | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:48,591 - WARNING - api_logger - 172.18.0.1 | GET /users/dashboard | Status: 404 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:49,749 - INFO - api_logger - 172.18.0.1 | POST /users/login | Status: 200 | Time: 0.054s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:51,966 - INFO - api_logger - 172.18.0.1 | POST /users/login-rate | Status: 200 | Time: 0.001s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:53,073 - INFO - api_logger - 172.18.0.1 | POST /users/login-rate | Status: 200 | Time: 0.0009s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:55,289 - WARNING - api_logger - 172.18.0.1 | GET /users/admin-panel | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:57,506 - WARNING - api_logger - 172.18.0.1 | GET /users/admin-panel | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:58,610 - INFO - api_logger - 172.18.0.1 | GET /users/hello | Status: 200 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:42:59,715 - INFO - api_logger - 172.18.0.1 | POST /users/search | Status: 200 | Time: 0.0011s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:00,820 - WARNING - api_logger - 172.18.0.1 | GET /users/profile | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:01,926 - INFO - api_logger - 172.18.0.1 | POST /users/search | Status: 200 | Time: 0.0012s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:03,032 - WARNING - api_logger - 172.18.0.1 | POST /users/login-rate | Status: 429 | Time: 0.0014s | User-Agent: python-requests/2.25.1 | User: -
