2025-05-22 08:01:22,793 - INFO - 127.0.0.1 | GET /swagger.json | Status: 200 | Time: 0.0028s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-22 08:01:22,796 - INFO - 127.0.0.1 | GET /swaggerui/favicon-32x32.png | Status: 200 | Time: 0.0013s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-22 09:00:21,714 - INFO - 180.244.134.186 | GET / | Status: 200 | Time: 0.0128s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-22 09:00:22,461 - INFO - 180.244.134.186 | GET /swaggerui/droid-sans.css | Status: 200 | Time: 0.0185s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-22 09:00:22,461 - INFO - 180.244.134.186 | GET /swaggerui/swagger-ui-standalone-preset.js | Status: 200 | Time: 0.0172s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-22 09:00:22,461 - INFO - 180.244.134.186 | GET /swaggerui/swagger-ui-bundle.js | Status: 200 | Time: 0.0188s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-22 09:00:22,462 - INFO - 180.244.134.186 | GET /swaggerui/swagger-ui.css | Status: 200 | Time: 0.0205s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-22 09:00:23,996 - INFO - 180.244.134.186 | GET /swagger.json | Status: 200 | Time: 0.0016s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-22 09:00:24,003 - INFO - 180.244.134.186 | GET /swaggerui/favicon-32x32.png | Status: 200 | Time: 0.0009s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-22 09:09:40,642 - INFO - 206.168.34.223 | GET / | Status: 200 | Time: 0.0005s | User-Agent: - | User: -
2025-05-22 09:09:45,621 - INFO - 206.168.34.223 | GET / | Status: 200 | Time: 0.0005s | User-Agent: Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/) | User: -
2025-05-22 09:09:46,666 - INFO - 206.168.34.223 | GET /swaggerui/favicon-32x32.png | Status: 200 | Time: 0.0005s | User-Agent: Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/) | User: -
2025-05-22 09:09:47,813 - INFO - 206.168.34.223 | GET /swaggerui/favicon-16x16.png | Status: 200 | Time: 0.0005s | User-Agent: Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/) | User: -
2025-05-22 09:09:48,681 - INFO - 206.168.34.223 | GET /favicon.ico | Status: 404 | Time: 0.0004s | User-Agent: Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/) | User: -
2025-05-22 09:09:58,222 - INFO - 206.168.34.223 | GET /favicon.ico | Status: 404 | Time: 0.0003s | User-Agent: Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/) | User: -
2025-05-22 09:27:07,235 - INFO - 127.0.0.1 | GET / | Status: 200 | Time: 0.0152s | User-Agent: curl/7.81.0 | User: -
2025-05-22 09:28:35,474 - INFO - 127.0.0.1 | GET / | Status: 200 | Time: 0.0109s | User-Agent: curl/7.81.0 | User: -
